Date,SP500 Price,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2
2015-11-11,2075.0,-0.004899752620310853,-0.03616775006125758,0.0088056767472747,-0.03154926572491633,0.0052839693777234,-0.0041885939215905
2015-11-12,2045.97,-0.0036342451012299536,-0.03118723073093408,0.0093012090620457,-0.024980595947182233,0.0027868306142639,-0.016438637789273
2015-11-13,2023.04,-0.005864157648485653,-0.03442851119188348,0.0118351858352793,-0.02919361510867393,0.004208395303686,-0.0072610280178833
2015-11-16,2053.19,-0.0032719769617776534,-0.03639776953410008,0.0215299811285657,0.004656523432971273,-0.0014458359587786,0.0027698689934495
2015-11-17,2050.44,0.007857830650609346,-0.031097428566497477,0.028602425138264102,0.03265536166844167,-0.0068067557072885,-0.0058145676122567
2015-11-18,2083.58,0.021406674610964647,-0.025018535422938977,0.0379129428730633,0.052164630611757065,0.0025728197951761,0.0111986170917063
2015-11-19,2081.24,0.02822733403093565,-0.024538457143041082,0.0567380287854277,0.06510950262251697,-0.0027954095830405,-0.0028487622340504
2015-11-20,2089.17,0.029999245626847946,-0.02294125151711168,0.05669855416262069,0.08893759519411827,-0.0005829106562565,0.0009133306135522
2015-11-23,2086.59,0.020645217701923246,-0.03699376289351028,0.046732210796130595,0.09025348532157326,0.0127565077406507,0.0022135018957519
2015-11-24,2089.14,0.026524337833289245,-0.02920626038704338,0.053805333697846694,0.09203112242214997,0.0410672628017226,0.0075976033710482
2015-11-25,2088.87,0.020814055278228244,-0.02810676287182928,0.047480033587156995,0.08398419032676933,-0.0004180639254807,0.004739927653848
2015-11-27,2090.11,0.008680790304219446,-0.038544260001850135,0.0397900687029243,0.07996482505451832,0.0013867327403234,0.0038097859300278
2015-11-30,2080.41,0.011141825747643046,-0.041433777820926936,0.0323925657932506,0.07398895023929464,-0.004004770617318,-0.0022074195249223
2015-12-01,2102.63,0.005755989183894144,-0.032336415673263334,0.034057253066913096,0.07753283352838082,0.0308320157274607,0.0035987502809064
2015-12-02,2079.51,-0.0016478554594725695,-0.03892549686106134,0.018003267370652498,0.08814195011874613,-0.0018175960516524,-0.0069029354769938
2015-12-03,2049.62,-0.01110067619003847,-0.04152425317381034,0.002454721411159301,0.07343889198262553,0.00711368629198,-0.0137028336015888
2015-12-04,2091.69,0.003058948730720131,-0.02625155511275874,0.0257207557924197,0.11092304383761263,-0.012095208078075,0.0086067816878858
2015-12-07,2077.07,-0.006077455681671468,-0.028421400424415835,0.0171473500030146,0.10042148546000064,-0.0138823268538082,-0.0160384651019067
2015-12-08,2063.59,-0.009353436823513521,-0.03404943390973993,0.0141458055911504,0.09481059647204693,-0.0041972817375637,-0.0044791351583206
2015-12-09,2047.62,-0.021257855384807522,-0.040109300540291735,-0.0039029003115528,0.07483374100846563,0.0096481811342826,-0.0097311197181611
2015-12-10,2052.23,-0.015339883710277221,-0.03411100861389253,0.0006593207901867998,0.07246595939218843,0.0027307261550908,0.0003964852069941
2015-12-11,2012.37,-0.03181229169948742,-0.04261248012229013,-0.015319831428931301,0.04205087746174433,-0.0175369189330495,-0.0180838920627431
2015-12-14,2021.94,-0.038478876322655425,-0.047063244979464236,-0.0062320100000424,0.04484762924550424,-0.0138861893744744,-0.0084249421945605
2015-12-15,2043.41,-0.03268283469154142,-0.04323923021180494,0.002593664533643899,0.049038742086358736,0.0091558014391551,0.0103894025586775
2015-12-16,2073.07,-0.020753941432981926,-0.03768844095332194,0.017980073390162,0.07164040123231503,0.012167283402119,0.0163632821380287
2015-12-17,2041.89,-0.03499505253008492,-0.055944398788082036,0.0009762763786499984,0.05391205077972083,-0.0034202226673965,-0.0078129539027647
2015-12-18,2005.55,-0.04305230490317212,-0.06485716924769894,-0.0146340258299444,0.04420429330445443,0.002548551356539,-0.0061635308067215
2015-12-21,2021.15,-0.037646333728924855,-0.06159285920523664,-0.0014272364915308023,0.04077799191633424,0.0006701229507899,0.0076483038398944
2015-12-22,2038.97,-0.028690152708166057,-0.05494409944580834,0.0196729052830097,0.04541035962981484,0.015359403520558,0.0064358662206511
2015-12-23,2064.29,-0.023143461272106057,-0.04889916664644153,0.036126956823102796,0.048571138228792436,0.0171690121490208,0.0097077517516917
2015-12-24,2060.99,-0.027370294370220156,-0.05113148414459104,0.026971928038092497,0.041164293943416135,0.0023245147256227,0.0019333949920669
2015-12-28,2056.5,-0.030142217386073856,-0.054246183566269535,0.020944117790768102,0.030303255275785437,0.0016254136363869,-0.0090605385678803
2015-12-29,2078.36,-0.012423317387599456,-0.04567885177190943,0.0459973374884357,0.056090042901931134,0.0040750157422675,0.0081417102051646
2015-12-30,2063.36,-0.021589708994703156,-0.050413212936110535,0.0289697278302977,0.04036505634736103,0.0028796655918082,-0.0101017959905821
2015-12-31,2043.94,-0.02843950701916536,-0.05827994099520363,0.013117199549964398,0.026058599470204533,0.0131603381787862,-0.003077364676813
2016-01-04,2012.66,-0.042676815353024256,-0.06349002181976543,-0.001491082906543202,-0.020899006347336064,-0.000307439395017,-0.0144849574706767
2016-01-05,2016.71,-0.04414121994221256,-0.06422060290720263,0.0045703201991247975,-0.030919767032727464,0.0091597373509335,0.001770008933824
2016-01-06,1990.26,-0.05891718518996546,-0.07164240711333514,-0.0003290831894582017,-0.013421485591982165,0.0103455366539969,-0.015502555431422
2016-01-07,1943.09,-0.07679244394295195,-0.06748806684387594,-0.0178413199300625,-0.04470217725618747,-8.051325076453841e-05,-0.0290614363488991
